text,label
Modelado estadístico con BigQuery enfocado en análisis de datos a gran escala en la nube de Google. Ver más en https://scikit-learn.org/stable/. #bigdata #python,Data Science
Detectar ataque o ataques de denegación de servicio (DDoS) o inyecciones de código malicioso en el firewall.,Ciberseguridad
Caso práctico de clustering con K-Means en proyectos de segmentación no supervisada de usuarios. #bigdata #python,Data Science
Comparativa técnica de shadcn/ui frente a otras alternativas para componentes accesibles reutilizables sobre Radix UI. Contacto: info@aiservices.dev.,Frontend
Guía práctica sobre Angular 18 aplicado a arquitecturas basadas en signals y standalone components. Ver más en https://react.dev. **importante**,Frontend
Construcción de un pipeline con dashboards con Power BI para visualización interactiva de métricas de negocio. Ver más en https://spark.apache.org/docs/. #analytics #python,Data Science
Data-driven decision making using modelos de regresión y clasificación con scikit-learn focused on predicción sobre datos estructurados. <p>v2.0</p> #analytics #datascience,Data Science
Migración de un proyecto legacy hacia PWA para mejorar aplicaciones web progresivas con soporte offline. Ver más en https://svelte.dev/docs.,Frontend
Extracción de insights comerciales y análisis descriptivo a partir de consultas complejas de agregación con Pandas.,Data Science
Evaluación de riesgos mediante pruebas de penetración (pentesting) orientada a identificación de vulnerabilidades en aplicaciones web.,Ciberseguridad
"Building scalable backend systems using Golang, PostgreSQL database, and Redis caching. Learn more at https://go.dev/doc/tutorial/web-service-gin",Backend
Building scalable backend systems with NestJS focused on una arquitectura modular inspirada en Angular. Ver más en https://fastapi.tiangolo.com/. #backend,Backend
Análisis de BigQuery orientado a análisis de datos a gran escala en la nube de Google. Ver más en https://spark.apache.org/docs/.,Data Science
Comparativa técnica de SvelteKit frente a otras alternativas para renderizado híbrido SSR/SSG para mejorar el SEO. Ver más en https://svelte.dev/docs. Contacto: security@infosec.com. <p>v2.0</p> #react,Frontend
"Automatización de reportes con pipelines ETL para extracción, transformación y carga de datos. Ver más en https://pandas.pydata.org/docs/. <p>v2.0</p> #analytics #bigdata",Data Science
Procesamiento de grandes volúmenes de datos con clustering con K-Means para segmentación no supervisada de usuarios. Ver más en https://scikit-learn.org/stable/.,Data Science
Diseño de políticas de seguridad basadas en VPN y túneles cifrados para protección de comunicaciones remotas. #cybersecurity #infosec,Ciberseguridad
Configuración de un pool de conexiones en Node con pg-pool y optimización de índices en bases de datos relacionales SQL.,Backend
Building AI-powered applications using modelos Transformer focused on procesamiento de lenguaje natural a gran escala. #ai #deeplearning,Inteligencia artificial
Procesamiento de grandes volúmenes de datos con A/B testing para validación estadística de decisiones de producto.,Data Science
Ejecución de auditorías de seguridad con Nmap y Burp Suite enfocada en escaneo de puertos y vulnerabilidades. Ver más en https://nmap.org/docs.html. Contacto: soporte@backend.io. #pentesting,Ciberseguridad
Metodología de autenticación multifactor (MFA) aplicada a reducción del riesgo de acceso no autorizado. Ver más en https://owasp.org/www-project-top-ten/. Contacto: team@datalab.io.,Ciberseguridad
Optimización de hiperparámetros en LangChain para mejorar orquestación de agentes con modelos de lenguaje.,Inteligencia artificial
Procesamiento de grandes volúmenes de datos con Apache Airflow para orquestación de flujos de trabajo de datos. Ver más en https://airflow.apache.org/docs/.,Data Science
Buenas prácticas al trabajar con PWA en aplicaciones web progresivas con soporte offline. Ver más en https://tailwindcss.com/docs. #ui #react,Frontend
Evaluación de riesgos mediante autenticación multifactor (MFA) orientada a reducción del riesgo de acceso no autorizado.,Ciberseguridad
Cybersecurity best practices using auditorías de seguridad con Nmap y Burp Suite focused on escaneo de puertos y vulnerabilidades.,Ciberseguridad
Diseño e implementación de Redis orientado a caché distribuida y colas de mensajes. Ver más en https://fastapi.tiangolo.com/.,Backend
"Building modern user interfaces with PWA, focused on aplicaciones web progresivas con soporte offline. **importante**",Frontend
Automatización de reportes con Apache Airflow para orquestación de flujos de trabajo de datos. #bigdata #etl,Data Science
Ejecución de autenticación multifactor (MFA) enfocada en reducción del riesgo de acceso no autorizado. Contacto: team@datalab.io.,Ciberseguridad
Construcción de un pipeline con análisis exploratorio de datos (EDA) para identificación de patrones y outliers. Ver más en https://airflow.apache.org/docs/. <div>Demo</div>,Data Science
